Algorithm,Array Type,Array Size,Time (seconds)
Quick_sort_random_pivot,random,4,3.814697265625E-05
Quick_sort_random_pivot,increasing,4,1.12056732177734E-05
Quick_sort_random_pivot,decreasing,4,8.34465026855469E-06
Quick_sort_random_pivot,constant,4,6.91413879394531E-06
Quick_sort_random_pivot,a_shaped,4,6.67572021484375E-06
Quick_sort_random_pivot,random,8,1.54972076416016E-05
Quick_sort_random_pivot,increasing,8,1.38282775878906E-05
Quick_sort_random_pivot,decreasing,8,1.45435333251953E-05
Quick_sort_random_pivot,constant,8,1.45435333251953E-05
Quick_sort_random_pivot,a_shaped,8,1.23977661132813E-05
Quick_sort_random_pivot,random,16,3.36170196533203E-05
Quick_sort_random_pivot,increasing,16,3.21865081787109E-05
Quick_sort_random_pivot,decreasing,16,3.29017639160156E-05
Quick_sort_random_pivot,constant,16,3.33786010742188E-05
Quick_sort_random_pivot,a_shaped,16,3.26633453369141E-05
Quick_sort_random_pivot,random,32,7.60555267333984E-05
Quick_sort_random_pivot,increasing,32,0.00006103515625
Quick_sort_random_pivot,decreasing,32,7.29560852050781E-05
Quick_sort_random_pivot,constant,32,7.2479248046875E-05
Quick_sort_random_pivot,a_shaped,32,7.34329223632813E-05
Quick_sort_random_pivot,random,64,0.000172615051269531
Quick_sort_random_pivot,increasing,64,0.000144481658935547
Quick_sort_random_pivot,decreasing,64,0.000159025192260742
Quick_sort_random_pivot,constant,64,0.000158071517944336
Quick_sort_random_pivot,a_shaped,64,0.000154495239257813
Quick_sort_random_pivot,random,128,0.000365495681762695
Quick_sort_random_pivot,increasing,128,0.000325679779052734
Quick_sort_random_pivot,decreasing,128,0.000348567962646484
Quick_sort_random_pivot,constant,128,0.000364303588867188
Quick_sort_random_pivot,a_shaped,128,0.000395298004150391
Quick_sort_random_pivot,random,256,0.000782489776611328
Quick_sort_random_pivot,increasing,256,0.000650167465209961
Quick_sort_random_pivot,decreasing,256,0.000707149505615234
Quick_sort_random_pivot,constant,256,0.000791311264038086
Quick_sort_random_pivot,a_shaped,256,0.000785112380981445
Quick_sort_random_pivot,random,512,0.00191330909729004
Quick_sort_random_pivot,increasing,512,0.00167465209960938
Quick_sort_random_pivot,decreasing,512,0.00188732147216797
Quick_sort_random_pivot,constant,512,0.00225138664245605
Quick_sort_random_pivot,a_shaped,512,0.00214099884033203
Quick_sort_random_pivot,random,1024,0.00491905212402344
Quick_sort_random_pivot,increasing,1024,0.00426530838012695
Quick_sort_random_pivot,decreasing,1024,0.00411415100097656
Quick_sort_random_pivot,constant,1024,0.00443720817565918
Quick_sort_random_pivot,a_shaped,1024,0.00401568412780762
Quick_sort_random_pivot,random,2048,0.00837993621826172
Quick_sort_random_pivot,increasing,2048,0.00672507286071777
Quick_sort_random_pivot,decreasing,2048,0.00679373741149902
Quick_sort_random_pivot,constant,2048,0.00823068618774414
Quick_sort_random_pivot,a_shaped,2048,0.00768923759460449
Quick_sort_random_pivot,random,4096,0.0172522068023682
Quick_sort_random_pivot,increasing,4096,0.0141482353210449
Quick_sort_random_pivot,decreasing,4096,0.0136466026306152
Quick_sort_random_pivot,constant,4096,0.016920804977417
Quick_sort_random_pivot,a_shaped,4096,0.0158722400665283
Quick_sort_random_pivot,random,8192,0.0345251560211182
Quick_sort_random_pivot,increasing,8192,0.0281064510345459
Quick_sort_random_pivot,decreasing,8192,0.028395414352417
Quick_sort_random_pivot,constant,8192,0.0351424217224121
Quick_sort_random_pivot,a_shaped,8192,0.0334138870239258
Quick_sort_random_pivot,random,16384,0.0716803073883057
Quick_sort_random_pivot,increasing,16384,0.0587337017059326
Quick_sort_random_pivot,decreasing,16384,0.0713679790496826
Quick_sort_random_pivot,constant,16384,0.0798251628875732
Quick_sort_random_pivot,a_shaped,16384,0.0745034217834473
Quick_sort_random_pivot,random,32768,0.158738136291504
Quick_sort_random_pivot,increasing,32768,0.154521465301514
Quick_sort_random_pivot,decreasing,32768,0.186985492706299
Quick_sort_random_pivot,constant,32768,0.174174308776855
Quick_sort_random_pivot,a_shaped,32768,0.146132946014404
Quick_sort_random_pivot,random,65536,0.314950227737427
Quick_sort_random_pivot,increasing,65536,0.256305932998657
Quick_sort_random_pivot,decreasing,65536,0.296939134597778
Quick_sort_random_pivot,constant,65536,0.385976076126099
Quick_sort_random_pivot,a_shaped,65536,0.323686122894287
